iata_code,airport_name,city,country,latitude,longitude,timezone
PPG,Pago Pago International Airport,Pago Pago,American Samoa,-14.3310003281,-170.710006714,-11
SPN,Saipan International Airport,Saipan,Northern Mariana Islands,15.119,145.729004,10
GUM,Antonio B. Won Pat International Airport,Agana,Guam,13.4834003448,144.796005249,10
STT,Cyril E. King Airport,St. Thomas,Virgin Islands,18.337299346923828,-64.97339630126953,-4
STX,Henry E Rohlsen Airport,St. Croix Island,Virgin Islands,17.701900482177734,-64.79859924316406,-4
BQN,Rafael Hernandez Airport,Aguadilla,Puerto Rico,18.49489974975586,-67.12940216064453,-4
PSE,Mercedita Airport,Ponce,Puerto Rico,18.00830078125,-66.56300354003906,-4
SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,18.4393997192,-66.0018005371,-4
ITO,Hilo International Airport,Hilo,United States,19.721399307250977,-155.04800415039062,-10
FSM,Fort Smith Regional Airport,Fort Smith,United States,35.33660125732422,-94.36740112304688,-6
GFK,Grand Forks International Airport,Grand Forks,United States,47.949299,-97.176102,-6
PRC,Ernest A. Love Field,Prescott,United States,34.65449905,-112.4199982,-7
TTN,Trenton Mercer Airport,Trenton,United States,40.27669906616211,-74.8134994506836,-5
BOS,General Edward Lawrence Logan International Airport,Boston,United States,42.36429977,-71.00520325,-5
OAK,Metropolitan Oakland International Airport,Oakland,United States,37.721298,-122.221001,-8
OMA,Eppley Airfield,Omaha,United States,41.3032,-95.894096,-6
OGG,Kahului Airport,Kahului,United States,20.8986,-156.429993,-10
ICT,Wichita Eisenhower National Airport,Wichita,United States,37.649899,-97.433098,-6
MCI,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898,-6
MSN,Dane County Regional Truax Field,Madison,United States,43.13990020751953,-89.3375015258789,-6
DLG,Dillingham Airport,Dillingham,United States,59.04470062,-158.5050049,-9
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766,-7
BGR,Bangor International Airport,Bangor,United States,44.80739974975586,-68.8281021118164,-5
GGG,East Texas Regional Airport,Longview,United States,32.38399887084961,-94.71150207519533,-6
GEG,Spokane International Airport,Spokane,United States,47.61989974975586,-117.53399658203124,-8
SFO,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375,-8
GNV,Gainesville Regional Airport,Gainesville,United States,29.6900997162,-82.2717971802,-5
MEM,Memphis International Airport,Memphis,United States,35.04240036010742,-89.97669982910156,-6
LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8
CLE,Cleveland Hopkins International Airport,Cleveland,United States,41.4117012024,-81.8498001099,-5
CVG,Cincinnati Northern Kentucky International Airport,Cincinnati,United States,39.0488014221,-84.6678009033,-5
JNU,Juneau International Airport,Juneau,United States,58.35499954223633,-134.5760040283203,-9
LFT,Lafayette Regional Airport,Lafayette,United States,30.20529938,-91.98760223,-6
EWR,Newark Liberty International Airport,Newark,United States,40.692501068115234,-74.168701171875,-5
BOI,Boise Air Terminal/Gowen Field,Boise,United States,43.5644,-116.223,-7
GCK,Garden City Regional Airport,Garden City,United States,37.9275016785,-100.723999023,-6
MOT,Minot International Airport,Minot,United States,48.2593994140625,-101.27999877929688,-6
DAL,Dallas Love Field,Dallas,United States,32.847099,-96.851799,-6
HLN,Helena Regional Airport,Helena,United States,46.6068000793457,-111.98300170898438,-7
LCH,Lake Charles Regional Airport,Lake Charles,United States,30.126100540161133,-93.22329711914062,-6
KOA,Ellison Onizuka Kona International At Keahole Airport,Kona,United States,19.738783,-156.045603,-10
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502,-5
DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5
ACY,Atlantic City International Airport,Atlantic City,United States,39.45759963989258,-74.57720184326172,-5
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,United States,46.68899918,-68.0447998,-5
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033,-9
FLL,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,United States,26.072599,-80.152702,-5
INL,Falls International Airport,International Falls,United States,48.566200256347656,-93.4030990600586,-6
SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874267578,-111.97799682617188,-7
MDT,Harrisburg International Airport,Harrisburg,United States,40.1935005188,-76.7633972168,-5
LNK,Lincoln Airport,Lincoln,United States,40.85100173950195,-96.75920104980467,-6
LAN,Capital City Airport,Lansing,United States,42.77870178222656,-84.58740234375,-5
IAH,George Bush Intercontinental Houston Airport,Houston,United States,29.984399795532227,-95.34140014648438,-6
BFL,Meadows Field,Bakersfield,United States,35.43360138,-119.0569992,-8
ELP,El Paso International Airport,El Paso,United States,31.80719948,-106.3779984,-7
HRL,Valley International Airport,Harlingen,United States,26.228500366210938,-97.65440368652344,-6
CAE,Columbia Metropolitan Airport,Columbia,United States,33.93880081176758,-81.11949920654297,-5
PNS,Pensacola Regional Airport,Pensacola,United States,30.473400115967,-87.186599731445,-6
HOU,William P Hobby Airport,Houston,United States,29.64539909,-95.27890015,-6
PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253,-5
BRW,Wiley Post Will Rogers Memorial Airport,Barrow,United States,71.285402,-156.766008,-9
MIA,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531,-5
SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998,-8
CHA,Lovell Field,Chattanooga,United States,35.035301208496094,-85.20379638671875,-5
JAN,Jackson-Medgar Wiley Evers International Airport,Jackson,United States,32.3111991882,-90.0758972168,-6
LGB,Long Beach /Daugherty Field/ Airport,Long Beach,United States,33.81769943,-118.1520004,-8
IND,Indianapolis International Airport,Indianapolis,United States,39.7173,-86.294403,-5
HPN,Westchester County Airport,White Plains,United States,41.06700134277344,-73.70760345458984,-5
YUM,Yuma MCAS/Yuma International Airport,Yuma,United States,32.65660095,-114.6060028,-7
DLH,Duluth International Airport,Duluth,United States,46.8420982361,-92.1936035156,-6
BET,Bethel Airport,Bethel,United States,60.77980042,-161.8379974,-9
LIH,Lihue Airport,Lihue,United States,21.97599983215332,-159.33900451660156,-10
RIC,Richmond International Airport,Richmond,United States,37.50519943237305,-77.3197021484375,-5
SHV,Shreveport Regional Airport,Shreveport,United States,32.446602,-93.8256,-6
CDV,Merle K (Mudhole) Smith Airport,Cordova,United States,60.4917984,-145.4779968,-9
ORF,Norfolk International Airport,Norfolk,United States,36.89459991455078,-76.20120239257812,-5
BPT,Southeast Texas Regional Airport,Beaumont,United States,29.9507999420166,-94.02069854736328,-6
SAV,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266,-5
OME,Nome Airport,Nome,United States,64.51219940185547,-165.44500732421875,-9
PIE,St Petersburg Clearwater International Airport,St. Petersburg,United States,27.91020012,-82.68740082,-5
SCC,Deadhorse Airport,Deadhorse,United States,70.19470215,-148.4649963,-9
SAT,San Antonio International Airport,San Antonio,United States,29.533700942993164,-98.46980285644533,-6
ROC,Greater Rochester International Airport,Rochester,United States,43.118900299072266,-77.67240142822266,-5
RDU,Raleigh Durham International Airport,Raleigh-durham,United States,35.87760162353516,-78.7874984741211,-5
DAY,James M Cox Dayton International Airport,Dayton,United States,39.90240097045898,-84.21939849853516,-5
IAG,Niagara Falls International Airport,Niagara Falls,United States,43.1072998046875,-78.94619750976562,-5
PHF,Newport News Williamsburg International Airport,Newport News,United States,37.13190079,-76.49299622,-5
TUS,Tucson International Airport,Tucson,United States,32.1161003112793,-110.94100189208984,-7
PVD,Theodore Francis Green State Airport,Providence,United States,41.732601,-71.420403,-5
SBY,Salisbury Ocean City Wicomico Regional Airport,Salisbury,United States,38.34049987792969,-75.51029968261719,-5
BUR,Bob Hope Airport,Burbank,United States,34.20069885253906,-118.35900115966795,-8
DTW,Detroit Metropolitan Wayne County Airport,Detroit,United States,42.212398529052734,-83.35340118408203,-5
TPA,Tampa International Airport,Tampa,United States,27.975500106811523,-82.533203125,-5
HIB,Range Regional Airport,Hibbing,United States,47.38660049,-92.83899689,-6
MAF,Midland International Airport,Midland,United States,31.9424991607666,-102.2020034790039,-6
GRB,Austin Straubel International Airport,Green Bay,United States,44.48509979248047,-88.12960052490234,-6
AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989974975586,-81.9645004272461,-5
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.729400634799994,-92.2242965698,-6
SWF,Stewart International Airport,Newburgh,United States,41.50410079956055,-74.10479736328125,-5
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6
MLB,Melbourne International Airport,Melbourne,United States,28.10280036926269,-80.64530181884766,-5
AUS,Austin Bergstrom International Airport,Austin,United States,30.194499969482425,-97.6698989868164,-6
LCK,Rickenbacker International Airport,Columbus,United States,39.813801,-82.927803,-5
MQT,Sawyer International Airport,Gwinn,United States,46.3535995483,-87.395401001,-5
TYS,McGhee Tyson Airport,Knoxville,United States,35.81100082,-83.9940033,-5
STL,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003,-6
SPS,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,United States,33.9888,-98.491898,-6
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5
GRR,Gerald R. Ford International Airport,Grand Rapids,United States,42.88079834,-85.52279663,-5
FAT,Fresno Yosemite International Airport,Fresno,United States,36.77619934082031,-119.71800231933594,-8
VRB,Vero Beach Regional Airport,Vero Beach,United States,27.6556,-80.417901,-5
BNA,Nashville International Airport,Nashville,United States,36.1245002746582,-86.6781997680664,-6
LRD,Laredo International Airport,Laredo,United States,27.543800354003903,-99.46160125732422,-6
OTZ,Ralph Wien Memorial Airport,Kotzebue,United States,66.88469696,-162.598999,-9
LGA,La Guardia Airport,New York,United States,40.77719879,-73.87259674,-5
TLH,Tallahassee Regional Airport,Tallahassee,United States,30.396499633789062,-84.35030364990234,-5
ACT,Waco Regional Airport,Waco,United States,31.611299514770508,-97.23049926757812,-6
SJT,San Angelo Regional Mathis Field,San Angelo,United States,31.35770034790039,-100.49600219726562,-6
BTV,Burlington International Airport,Burlington,United States,44.4719009399,-73.15329742429999,-5
JAX,Jacksonville International Airport,Jacksonville,United States,30.49410057067871,-81.68789672851562,-5
DRO,Durango La Plata County Airport,Durango,United States,37.1515007019,-107.753997803,-7
IAD,Washington Dulles International Airport,Washington,United States,38.94449997,-77.45580292,-5
CLL,Easterwood Field,College Station,United States,30.58860016,-96.36380005,-6
MKE,General Mitchell International Airport,Milwaukee,United States,42.94720077514648,-87.89659881591797,-6
ABI,Abilene Regional Airport,Abilene,United States,32.4113006592,-99.6819000244,-6
COU,Columbia Regional Airport,Columbia,United States,38.81809997558594,-92.21959686279295,-6
PDX,Portland International Airport,Portland,United States,45.58869934,-122.5979996,-8
PBI,Palm Beach International Airport,West Palm Beach,United States,26.68320083618164,-80.09559631347656,-5
HNL,Daniel K Inouye International Airport,Honolulu,United States,21.32062,-157.924228,-10
DSM,Des Moines International Airport,Des Moines,United States,41.53400039672852,-93.66310119628906,-6
EWN,Coastal Carolina Regional Airport,New Bern,United States,35.0730018616,-77.04290008539999,-5
SAN,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441,-8
MLU,Monroe Regional Airport,Monroe,United States,32.51089859008789,-92.0376968383789,-6
ONT,Ontario International Airport,Ontario,United States,34.055999755859375,-117.60099792480467,-8
ROW,Roswell International Air Center Airport,Roswell,United States,33.30160140991211,-104.53099822998048,-7
BRO,Brownsville South Padre Island International Airport,Brownsville,United States,25.90679931640625,-97.4259033203125,-6
DHN,Dothan Regional Airport,Dothan,United States,31.3213005065918,-85.44960021972656,-6
FMN,Four Corners Regional Airport,Farmington,United States,36.7411994934,-108.230003357,-7
CRP,Corpus Christi International Airport,Corpus Christi,United States,27.77039909362793,-97.5011978149414,-6
SYR,Syracuse Hancock International Airport,Syracuse,United States,43.11119842529297,-76.1063003540039,-5
MDW,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403,-6
SJC,Norman Y. Mineta San Jose International Airport,San Jose,United States,37.362598,-121.929001,-8
HOB,Lea County Regional Airport,Hobbs,United States,32.6875,-103.2170029,-7
DEN,Denver International Airport,Denver,United States,39.861698150635,-104.672996521,-7
PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865112305,-75.24109649658203,-5
SUX,Sioux Gateway Col. Bud Day Field,Sioux City,United States,42.40259933,-96.38439941,-6
CMH,John Glenn Columbus International Airport,Columbus,United States,39.998001,-82.891899,-5
TXK,Texarkana Regional Webb Field,Texarkana,United States,33.45370101928711,-93.99099731445312,-6
PBG,Plattsburgh International Airport,Plattsburgh,United States,44.6509017944336,-73.46810150146484,-5
ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440032958984,-149.99600219726562,-9
GRK,Robert Gray  Army Air Field Airport,Killeen,United States,31.067199707,-97.8289031982,-6
BLI,Bellingham International Airport,Bellingham,United States,48.79280090332031,-122.53800201416016,-8
MOB,Mobile Regional Airport,Mobile,United States,30.691200256348,-88.242797851562,-6
SAF,Santa Fe Municipal Airport,Santa Fe,United States,35.617099762,-106.088996887,-7
BLV,Scott AFB/Midamerica Airport,Belleville,United States,38.5452,-89.835197,-6
RSW,Southwest Florida International Airport,Fort Myers,United States,26.53619956970215,-81.75520324707031,-5
AKN,King Salmon Airport,King Salmon,United States,58.67679977,-156.6490021,-9
JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5
CYS,Cheyenne Regional Jerry Olson Field,Cheyenne,United States,41.15570068,-104.8119965,-7
SCK,Stockton Metropolitan Airport,Stockton,United States,37.894199371338,-121.2379989624,-8
CHS,Charleston Air Force Base-International Airport,Charleston,United States,32.89860153,-80.04049683,-5
RNO,Reno Tahoe International Airport,Reno,United States,39.49909973144531,-119.76799774169922,-8
KTN,Ketchikan International Airport,Ketchikan,United States,55.35559845,-131.7140045,-9
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,United States,33.56290054,-86.75350189,-6
SMF,Sacramento International Airport,Sacramento,United States,38.69540023803711,-121.59100341796876,-8
COS,City of Colorado Springs Municipal Airport,Colorado Springs,United States,38.805801,-104.700996,-7
BUF,Buffalo Niagara International Airport,Buffalo,United States,42.94049835,-78.73220062,-5
PAE,Snohomish County (Paine Field) Airport,Everett,United States,47.90629959,-122.2819977,-8
CDC,Cedar City Regional Airport,Cedar City,United States,37.70100021362305,-113.0989990234375,-7
BDL,Bradley International Airport,Windsor Locks,United States,41.9388999939,-72.68319702149999,-5
MFE,Mc Allen Miller International Airport,Mcallen,United States,26.17580032,-98.23860168,-6
LBB,Lubbock Preston Smith International Airport,Lubbock,United States,33.663601,-101.822998,-6
ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6
FAI,Fairbanks International Airport,Fairbanks,United States,64.81510162,-147.8560028,-9
ART,Watertown International Airport,Watertown,United States,43.99190139770508,-76.02169799804688,-5
PSP,Palm Springs International Airport,Palm Springs,United States,33.8297004699707,-116.50700378417967,-8
AMA,Rick Husband Amarillo International Airport,Amarillo,United States,35.219398,-101.706001,-6
FOD,Fort Dodge Regional Airport,Fort Dodge,United States,42.55149841,-94.19259644,-6
ILM,Wilmington International Airport,Wilmington,United States,34.270599365234375,-77.90260314941406,-5
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,United States,30.533199,-91.149597,-6
TYR,Tyler Pounds Regional Airport,Tyler,United States,32.35409927368164,-95.40239715576172,-6
BWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,39.1754,-76.668297,-5
AEX,Alexandria International Airport,Alexandria,United States,31.32740020751953,-92.54979705810548,-6
TUL,Tulsa International Airport,Tulsa,United States,36.19839859008789,-95.88809967041016,-6
SIT,Sitka Rocky Gutierrez Airport,Sitka,United States,57.04710006713867,-135.36199951171875,-9
ISP,Long Island Mac Arthur Airport,Islip,United States,40.79520035,-73.10019684,-5
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802,-6
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057373047,-90.25800323486328,-6
PWM,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328,-5
OKC,Will Rogers World Airport,Oklahoma City,United States,35.39310073852539,-97.60070037841795,-6
ALB,Albany International Airport,Albany,United States,42.74829864501953,-73.80169677734375,-5
SNA,John Wayne Airport-Orange County Airport,Santa Ana,United States,33.67570114,-117.8679962,-8
CPR,Casper-Natrona County International Airport,Casper,United States,42.908001,-106.463997,-7
VPS,Destin-Ft Walton Beach Airport,Valparaiso,United States,30.4832,-86.525398,-6
EYW,Key West International Airport,Key West,United States,24.556100845336918,-81.75959777832031,-5
CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007019043,-80.94309997558594,-5
LAS,McCarran International Airport,Las Vegas,United States,36.08010101,-115.1520004,-8
MCO,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016,-5
FLO,Florence Regional Airport,Florence,United States,34.18539810180664,-79.7238998413086,-5
GTF,Great Falls International Airport,Great Falls,United States,47.48199844,-111.3710022,-7
PUW,Pullman Moscow Regional Airport,Pullman,United States,46.7439,-117.110001,-8
LWS,Lewiston Nez Perce County Airport,Lewiston,United States,46.3745002746582,-117.01499938964844,-8
ELM,Elmira Corning Regional Airport,Elmira,United States,42.1599006652832,-76.8916015625,-5
ITH,Ithaca Tompkins Regional Airport,Ithaca,United States,42.49100112915039,-76.4583969116211,-5
MRY,Monterey Peninsula Airport,Monterey,United States,36.58700180053711,-121.84300231933594,-8
SBA,Santa Barbara Municipal Airport,Santa Barbara,United States,34.42620087,-119.8399963,-8
DAB,Daytona Beach International Airport,Daytona Beach,United States,29.179899,-81.058098,-5
AVL,Asheville Regional Airport,Asheville,United States,35.43619918823242,-82.54180145263672,-5
GSO,Piedmont Triad International Airport,Greensboro,United States,36.097801208496094,-79.93730163574219,-5
FSD,Joe Foss Field Airport,Sioux Falls,United States,43.5820007324,-96.741897583,-6
MHT,Manchester-Boston Regional Airport,Manchester NH,United States,42.932598,-71.435699,-5
SDF,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736,-5
CHO,Charlottesville Albemarle Airport,Charlottesville VA,United States,38.13859939575195,-78.4529037475586,-5
ROA,Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,37.3255,-79.975403,-5
LEX,Blue Grass Airport,Lexington KY,United States,38.0364990234375,-84.60590362548828,-5
